Eb,Ek = 60 eV,Eb,210,Eb,410,Eb,610,Eb,910
299,2953.6,298,6886.5,298,54002.6956521739,298,102.540901305855,298,73.4771908763505
298.95,3039.15,297.95,7061.125,297.95,54005.8260869565,297.95,111.020430824418,297.95,76.9700480192077
298.9,3001.55,297.9,7035,297.9,53406.4782608696,297.9,93.143733523687,297.9,74.9447779111645
298.85,2975.85,297.85,6962.375,297.85,54149.1304347826,297.85,98.6495631053094,297.85,87.8399759903962
298.8,2966.35,297.8,6890.875,297.8,53943.5652173913,297.8,102.685791558003,297.8,77.596218487395
298.75,2923.7,297.75,7111.875,297.75,54222.4782608696,297.75,97.9665090594691,297.75,77.664705882353
298.7,2928.35,297.7,7346.5,297.7,53613.1739130435,297.7,88.5003459191358,297.7,74.6219087635054
298.65,2871.15,297.65,6690.25,297.65,53835.3913043478,297.65,87.4447169392007,297.65,74.1424969987995
298.6,3021.95,297.6,7068,297.6,53980.3913043478,297.6,96.3037209276758,297.6,79.9834933973589
298.55,2834.8,297.55,7038.5,297.55,53799.652173913,297.55,94.8065216554803,297.55,81.6565426170468
298.5,2943.15,297.5,7051.75,297.5,53251.7826086957,297.5,93.7922898904445,297.5,77.4494597839136
298.45,2804.5,297.45,7402.125,297.45,54218,297.45,96.4486111798238,297.45,79.2888355342137
298.4,2901.8,297.4,6970.25,297.4,53460.7391304348,297.4,102.830681810151,297.4,76.3047418967587
298.35,2820.95,297.35,7135.75,297.35,53164.1739130435,297.350000000001,102.085531941961,297.350000000001,73.946818727491
298.3,2777.2,297.3,7054,297.3,53769.9565217391,297.300000000001,93.2817242400184,297.300000000001,73.0369147659064
298.25,2866.7,297.25,6972.5,297.25,53454.4347826087,297.250000000001,89.5283767558047,297.250000000001,78.9561824729892
298.2,2916.45,297.2,6737.125,297.2,53828.2173913043,297.200000000001,90.3632205896096,297.200000000001,81.4021608643457
298.15,2905.15,297.15,6923.5,297.15,53174.5652173913,297.150000000001,101.968239833079,297.150000000001,87.4584033613445
298.1,2872.5,297.1,6796.375,297.1,53584.2608695652,297.100000000001,99.9466758388245,297.100000000001,83.290456182473
298.05,2927.05,297.05,6823.625,297.05,53985.0869565217,297.050000000001,94.4822434721015,297.050000000001,79.983493397359
298,2841.25,297,6706.375,297,53922.0434782609,297.000000000001,85.9130199879223,297.000000000001,73.1738895558223
297.95,2848.3,296.95,6922.875,296.95,53640.4347826087,296.950000000001,100.119164234239,296.950000000001,83.358943577431
297.9,2843.6,296.9,6446.125,296.9,53348.3043478261,296.900000000001,98.2493900279484,296.900000000001,76.8428571428572
297.85,2990.9,296.85,6660.75,296.85,53536.2608695652,296.850000000001,87.6724016211475,296.850000000001,73.9076830732293
297.8,2857.45,296.8,6713.25,296.8,54037.4347826087,296.800000000001,95.7379589907172,296.800000000001,71.2660264105642
297.75,2785.5,296.75,6899,296.75,53241,296.750000000001,103.486137712725,296.750000000001,75.3165666266507
297.7,2859.25,296.7,6711.75,296.7,53271,296.700000000001,99.2567222571675,296.700000000001,72.7433973589436
297.65,2774.3,296.65,7042.75,296.65,53766.7391304348,296.650000000001,91.1635667443316,296.650000000001,75.6394357743097
297.6,2653.25,296.6,6817.875,296.6,53725.8695652174,296.600000000001,93.6473996382966,296.600000000001,79.7193277310925
297.55,2683.6,296.55,6971.25,296.55,53188.9130434783,296.550000000001,99.3326171511498,296.550000000001,77.527731092437
297.5,2799.2,296.5,7084,296.5,53930,296.500000000001,89.7698605093846,296.500000000001,76.79393757503
297.45,2694.65,296.45,6814.875,296.45,53461.7826086957,296.450000000001,90.8185899535031,296.450000000001,77.9386554621849
297.4,2750.15,296.4,6916.125,296.4,53730.8695652174,296.400000000001,107.867342956246,296.400000000001,78.8485594237695
297.35,2789.75,296.35,7186.125,296.35,54565.1304347826,296.350000000001,96.2071274262439,296.350000000001,82.2827130852341
297.3,2729.75,296.3,7122.375,296.3,54016.347826087,296.300000000001,91.7707258961897,296.300000000001,76.2460384153661
297.25,2646.55,296.25,7039.875,296.25,54054.7826086957,296.250000000002,93.1644321311367,296.250000000002,71.628031212485
297.2,2681.95,296.2,6995.5,296.2,54451.0869565217,296.200000000002,90.1976317300119,296.200000000002,76.6373949579832
297.15,2739.5,296.15,6896.125,296.15,54727.2173913043,296.150000000002,92.8263548761248,296.150000000002,88.1530612244898
297.1,2797.8,296.1,6895.75,296.1,53561.1739130435,296.100000000002,99.4085120451321,296.100000000002,87.7421368547419
297.05,2812.45,296.05,7123.25,296.05,54011.9565217391,296.050000000002,90.6392020222723,296.050000000002,86.7735294117647
296.999999999999,2691.8,295.999999999999,7128.5,295.999999999999,54383.8695652174,296.000000000002,94.0751708589239,296.000000000002,80.0324129651861
296.949999999999,2677.15,295.949999999999,6997.125,295.949999999999,54193.652173913,295.950000000002,91.0945713861659,295.950000000002,74.9545618247299
296.9,2756.7,295.899999999999,6597.5,295.899999999999,53546.652173913,295.900000000002,85.4093538733128,295.900000000002,81.8815726290516
296.85,2768.25,295.849999999999,6758.25,295.849999999999,54815.8695652174,295.850000000002,88.9833134262957,295.850000000002,82.9871548619448
296.799999999999,2586.25,295.799999999999,6888.25,295.799999999999,54856.6086956522,295.800000000002,94.282156933421,295.800000000002,73.9957382953181
296.749999999999,2713.05,295.749999999999,7070.75,295.749999999999,54039.3043478261,295.750000000002,90.9151834549351,295.750000000002,68.506962785114
296.699999999999,2734.75,295.699999999999,6832.5,295.699999999999,54145.8260869565,295.700000000002,93.5646052084978,295.700000000002,74.4360144057623
296.649999999999,2758.3,295.65,6911.25,295.65,53585.652173913,295.650000000002,85.0298794034014,295.650000000002,71.3540816326531
296.6,2693.9,295.599999999999,7150.25,295.599999999999,53591.2173913043,295.600000000002,94.8341197987466,295.600000000002,83.1730492196879
296.549999999999,2653.15,295.549999999999,6795.5,295.549999999999,54207.347826087,295.550000000002,95.1307998388591,295.550000000002,80.5313925570228
296.499999999999,2590.5,295.499999999999,7030.5,295.499999999999,54358.0434782609,295.500000000002,101.043702033659,295.500000000002,79.2888355342137
296.449999999999,2700.55,295.449999999999,7470,295.449999999999,54461.6956521739,295.450000000002,109.22655151211,295.450000000002,81.5978391356543
296.399999999999,2648.4,295.399999999999,7140,295.399999999999,54209.7391304348,295.400000000002,99.4982060107475,295.400000000002,78.2028211284514
296.349999999999,2612.8,295.349999999999,6947.5,295.349999999999,54203.5217391304,295.350000000002,96.7383916841197,295.350000000002,77.5766506602641
296.299999999999,2538.05,295.299999999999,7053.75,295.299999999999,54353.6956521739,295.300000000002,93.0816377013379,295.300000000002,78.3104441776711
296.249999999999,2787.3,295.249999999999,7099.75,295.249999999999,54273.3913043478,295.250000000002,82.2562660051405,295.250000000002,78.2419567827131
296.199999999999,2632.75,295.199999999999,7679.625,295.199999999999,54593.3913043478,295.200000000002,101.581865827351,295.200000000002,82.8599639855942
296.149999999999,2776.15,295.149999999999,7172.25,295.149999999999,54197.8695652174,295.150000000003,98.4494765666289,295.150000000003,80.7466386554622
296.099999999999,2623.05,295.099999999999,7087.125,295.099999999999,55046.7391304348,295.100000000003,93.9233810709594,295.100000000003,73.9272509003601
296.049999999999,2641.15,295.049999999999,7248.625,295.049999999999,54681.2608695652,295.050000000003,87.2998266870527,295.050000000003,82.5077430972389
295.999999999999,2740.65,294.999999999999,7170.125,294.999999999999,53754,295.000000000003,95.323986841723,295.000000000003,81.2554021608643
295.949999999999,2687.75,294.949999999999,7369.75,294.949999999999,53322.3043478261,294.950000000003,94.1648648245393,294.950000000003,77.7136254501801
295.899999999999,2730.2,294.899999999999,7710,294.899999999999,54986.8260869565,294.900000000003,96.4003144291078,294.900000000003,78.2223889555822
295.849999999999,2732.25,294.849999999999,7315.75,294.849999999999,54692.9565217391,294.850000000003,105.397309133914,294.850000000003,87.5562424969988
295.799999999999,2699.25,294.799999999999,7550.25,294.799999999999,55070.7391304348,294.800000000003,98.3666821368301,294.800000000003,83.1730492196879
295.749999999999,2643.4,294.749999999999,7557.25,294.749999999999,54450.7391304348,294.750000000003,107.280882411838,294.750000000003,89.5423769507803
295.699999999999,2770.8,294.699999999999,7337,294.699999999999,54198.1304347826,294.700000000003,108.729784933317,294.700000000003,83.7307322929172
295.649999999999,2673.55,294.649999999999,7351,294.649999999999,54462.652173913,294.650000000003,111.413704365963,294.650000000003,85.8636254501801
295.599999999999,2658.1,294.599999999999,7569.625,294.599999999999,54196.4782608696,294.600000000003,102.8513804176,294.600000000003,72.5575030012005
295.549999999999,2576.8,294.549999999999,7916.5,294.549999999999,54844.2608695652,294.550000000003,103.927708004985,294.550000000003,75.2969987995198
295.499999999999,2752.35,294.499999999999,7839.875,294.499999999999,54460.4347826087,294.500000000003,100.795318744263,294.500000000003,77.3516206482593
295.449999999999,2594.1,294.449999999999,7829.125,294.449999999999,54210.347826087,294.450000000003,100.802218280079,294.450000000003,88.0258703481393
295.399999999999,2641.75,294.399999999999,8192.125,294.399999999999,54582.0869565217,294.400000000003,109.537030623856,294.400000000003,88.4270108043217
295.349999999999,2703.6,294.349999999999,8095.875,294.349999999999,54223.3913043478,294.350000000003,113.690551185431,294.350000000003,101.165666266507
295.299999999999,2667.7,294.299999999999,8556.5,294.299999999999,55814.0434782609,294.300000000003,119.368869162467,294.300000000003,101.938595438175
295.249999999999,2716.9,294.249999999999,8573,294.249999999999,55504.5652173913,294.250000000003,119.279175196852,294.250000000003,98.5729291716687
295.199999999999,2783.95,294.199999999999,8948.875,294.199999999999,55385.4782608696,294.200000000004,128.165777328593,294.200000000004,96.8216086434574
295.149999999999,2678.15,294.149999999999,9258.125,294.149999999999,55095.5652173913,294.150000000004,121.949295557864,294.150000000004,105.216206482593
295.099999999999,2652.25,294.099999999999,9606.125,294.099999999999,55956.5217391304,294.100000000003,130.311532967546,294.100000000003,107.7893757503
295.049999999999,2676.35,294.049999999999,9418.125,294.049999999999,55802.9130434783,294.050000000004,145.380119190934,294.050000000004,101.566806722689
294.999999999999,2763.4,293.999999999999,9865.625,293.999999999999,55708,294.000000000004,145.304224296952,294.000000000004,103.866026410564
294.949999999999,2673.65,293.949999999999,10380.625,293.949999999999,55677,293.950000000004,138.770363878661,293.950000000004,109.834213685474
294.899999999999,2724.85,293.899999999999,10512.25,293.899999999999,56520.6956521739,293.900000000004,152.010573110657,293.900000000004,110.54843937575
294.849999999999,2701.6,293.849999999999,11165.75,293.849999999999,56143,293.850000000004,161.414640428641,293.850000000004,115.293637454982
294.799999999999,2731.7,293.799999999999,12064.25,293.799999999999,56579.5217391304,293.800000000004,176.462528044579,293.800000000004,110.65606242497
294.749999999999,2510.8,293.749999999999,11938.875,293.749999999999,57957.3913043478,293.750000000004,168.065792955814,293.750000000004,106.791416566627
294.699999999999,2765.55,293.699999999999,12064.5,293.699999999999,57719.8695652174,293.700000000004,170.522027706513,293.700000000004,113.053121248499
294.649999999999,2620.65,293.649999999999,12541.125,293.649999999999,57606,293.650000000004,167.18955190711,293.650000000004,126.261404561825
294.599999999999,2798.3,293.599999999999,13267,293.599999999999,57057.5652173913,293.600000000004,174.917032021668,293.600000000004,130.595678271309
294.549999999999,2811,293.549999999999,12989.5,293.549999999999,57631.6956521739,293.550000000004,183.47935597003,293.550000000004,122.925090036014
294.499999999999,2778.65,293.499999999999,13318,293.499999999999,57441.4782608696,293.500000000004,184.479788663433,293.500000000004,119.412665066026
294.449999999999,2817.4,293.449999999999,13398.5,293.449999999999,57164.5652173913,293.450000000004,190.220202462819,293.450000000004,130.683733493397
294.399999999999,2799.55,293.399999999999,13300.625,293.399999999999,58710.1304347826,293.400000000004,197.65790207308,293.400000000004,131.124009603842
294.349999999999,2910.7,293.349999999999,12908.375,293.349999999999,58202.9565217391,293.350000000004,197.485413677666,293.350000000004,125.517827130852
294.299999999999,2824.45,293.299999999999,14002.25,293.299999999999,57082.3043478261,293.300000000004,188.48841897286,293.300000000004,132.190456182473
294.249999999999,2890.4,293.249999999999,13490,293.249999999999,57993.5652173913,293.250000000004,169.218015437181,293.250000000004,126.545138055222
294.199999999999,2979,293.199999999999,13484,293.199999999999,57716.347826087,293.200000000004,174.923931557484,293.200000000004,136.074669867947
294.149999999999,3013.05,293.149999999999,13828.5,293.149999999999,56913.7826086957,293.150000000004,189.205970697783,293.150000000004,134.714705882353
294.099999999999,3127.65,293.099999999999,13563.125,293.099999999999,57406.9565217391,293.100000000005,193.531979654772,293.100000000005,127.40612244898
294.049999999999,3071.6,293.049999999999,14533.375,293.049999999999,58525.2608695652,293.050000000005,198.265061224939,293.050000000005,127.161524609844
293.999999999999,3219.4,292.999999999999,14593.375,292.999999999999,58449.1739130435,293.000000000004,194.056344376831,293.000000000004,128.364945978391
293.949999999999,3104.9,292.949999999999,15002.75,292.949999999999,57851.2608695652,292.950000000005,204.184862955555,292.950000000005,133.051440576231
293.899999999999,3235.85,292.899999999999,15670.625,292.899999999999,58881.3913043478,292.900000000005,204.943811895378,292.900000000005,133.628691476591
293.849999999999,3326.5,292.849999999999,17018.25,292.849999999999,59410.9565217391,292.850000000005,214.313381534279,292.850000000005,137.483553421369
